1,REBELLIN Davide,Meridiana Kamen Team,Work Service Marchiol Vega
89,LINDEMAN Bert-Jan,Team Jumbo-Visma,Team Qhubeka ASSOS
90,DE PLUS Laurens,Team Jumbo-Visma,INEOS Grenadiers
91,DYBALL Benjamin,NTT Pro Cycling,Team UKYO
92,BONGIORNO Francesco Manuel,Vini Zabù - KTM,Global 6 Cycling
93,ROSSETTO Stéphane,Cofidis, Solutions Crédits,St Michel - Auber93
94,DE VREESE Laurens,Astana Pro Team,Alpecin-Fenix
95,ČERNÝ Josef,CCC Team,Deceuninck - Quick Step
96,VAN DER HOORN Taco,Team Jumbo-Visma,Intermarché - Wanty - Gobert Matériaux
97,BRANDÃO Joni,Efapel,W52 / FC Porto
98,POWER Robert,Team Sunweb,Team Qhubeka ASSOS
99,LIETAER Eliot,Bingoal - Wallonie Bruxelles,B&B Hotels p/b KTM
100,KING Ben,NTT Pro Cycling,Rally Cycling
