2015,PAUWELS Serge,Omega Pharma - Quick-Step,MTN - Qhubeka,81,405
2015,VAN STAEYEN Michael,Topsport Vlaanderen - Baloise,Cofidis,356,175
2015,MARECZKO Jakub,,Southeast,15,427
2015,MORABITO Steve,BMC Racing Team,FDJ,261,170
2015,BETTIOL Alberto,Cannondale,Team Cannondale - Garmin,23,86
2015,HOOGERLAND Johnny,Androni Giocattoli - Venezuela,Roompot - Oranje Peloton,60,35
2015,BOS Theo,Belkin-Pro Cycling Team,MTN - Qhubeka,611,5
2015,BARBERO Carlos,Euskadi,Caja Rural - Seguros RGA,180,303
2015,VAN GENECHTEN Jonas,Lotto Belisol,IAM Cycling,502,223
2015,NORDHAUG Lars Petter,Belkin-Pro Cycling Team,Team Sky,235,278
2015,DE MARCHI Alessandro,Cannondale,BMC Racing Team,323,200
2015,CANOLA Marco,Bardiani - CSF Pro Team,UnitedHealthcare Pro Cycling Team,181,130
2015,ASKARI Hossein,Ayandeh Continental Team,Pishgaman Giant Team,22,371
2015,MERLIER Tim,Sunweb - Napoleon Games Cycling Team,Pauwels - Vastgoedservice,4,54
2015,ROSA Diego,Androni Giocattoli - Venezuela,Astana Pro Team,110,499
2015,PRADES Eduard,Matrix Powertag,Caja Rural - Seguros RGA,97,267
2015,MOSER Moreno,Cannondale,Team Cannondale - Garmin,90,242
2015,MEURISSE Xandro,Lotto Belisol,An Post - Chain Reaction,7,66
2015,PANTANO Jarlinson,Team Colombia,IAM Cycling,165,389
2016,CAVENDISH Mark,Etixx - Quick Step,Team Dimension Data,959,1263
2016,MARTIN Dan,Team Cannondale - Garmin,Etixx - Quick Step,618,1125
2016,CHAVANEL Sylvain,IAM Cycling,Direct Energie,355,420
2016,PORTE Richie,Team Sky,BMC Racing Team,1357,1185
2016,URÁN Rigoberto,Etixx - Quick Step,Cannondale Pro Cycling Team,1277,713
2016,ROGLIČ Primož,Adria Mobil,Team LottoNL-Jumbo,451,457
2016,KWIATKOWSKI Michał,Etixx - Quick Step,Team Sky,1053,623
2016,MORENO Daniel,Team Katusha,Movistar Team,1165,536
2016,POZZATO Filippo,Lampre - Merida,Wilier - Southeast,158,343
2016,KITTEL Marcel,Team Giant - Alpecin,Etixx - Quick Step,123,1274
2016,HORNER Chris,Airgas Safeway Cycling,Lupus Racing Team,129,23
2016,NOCENTINI Rinaldo,AG2R La Mondiale,Sporting Clube de Portugal/Tavira,194,157
2016,LANDA Mikel,Astana Pro Team,Team Sky,969,431
2016,WEGMANN Fabian,Cult Energy Pro Cycling,Stölting Service Group,121,90
2016,BRESCHEL Matti,Tinkoff - Saxo,Cannondale Pro Cycling Team,454,102
2016,GAVAZZI Francesco,Southeast,Androni Giocattoli - Sidermec,357,655
2016,HESJEDAL Ryder,Team Cannondale - Garmin,Trek - Segafredo,493,67
2016,KOLOBNEV Alexandr,Team Katusha,Gazprom-RusVelo,24,67
2016,GROENEWEGEN Dylan,Roompot - Oranje Peloton,Team LottoNL-Jumbo,307,1058
2016,ANTÓN Igor,Movistar Team,Team Dimension Data,216,183
2016,NAESEN Oliver,Topsport Vlaanderen - Baloise,IAM Cycling,437,692
2016,ROLLAND Pierre,Team Europcar,Cannondale Pro Cycling Team,590,366
2016,SCHUMACHER Stefan,CCC Sprandi Polkowice,Christina Jewelry Pro Cycling,49,80
2016,VAN DEN BROECK Jurgen,Lotto Soudal,Team Katusha,346,118
2016,FEILLU Romain,Bretagne - Séché Environnement,HP BTP - Auber93,202,326
2016,EISEL Bernhard,Team Sky,Team Dimension Data,56,40
2016,CIOLEK Gerald,MTN - Qhubeka,Stölting Service Group,130,33
2016,JUNGELS Bob,Trek Factory Racing,Etixx - Quick Step,517,843
2016,WOODS Michael,Optum p/b Kelly Benefit Strategies,Cannondale Pro Cycling Team,259,357
2016,WEENING Pieter,Orica GreenEDGE,Roompot - Oranje Peloton,179,316
2016,TAARAMÄE Rein,Astana Pro Team,Team Katusha,624,291
2016,CARAPAZ Richard,,Strongman-Campagnolo Wilier,16,1
2016,BOLE Grega,CCC Sprandi Polkowice,Nippo - Vini Fantini,444,320
2016,PLAZA Rubén,Lampre - Merida,Orica GreenEDGE,375,55
2016,MARTIN Guillaume,FDJ.fr,Wanty - Groupe Gobert,44,200
2016,BOŽIČ Borut,Astana Pro Team,Cofidis,137,61
2016,CLARKE Simon,Orica GreenEDGE,Cannondale Pro Cycling Team,249,206
2016,VAN POPPEL Danny,Trek Factory Racing,Team Sky,648,424
2016,SIUTSOU Kanstantsin,Team Sky,Team Dimension Data,244,308
2016,DUPONT Timothy,Roubaix Lille Métropole,Verandas Willems Cycling Team,212,882
2016,RENSHAW Mark,Etixx - Quick Step,Team Dimension Data,86,255
2016,FINETTO Mauro,Southeast,Unieuro Wilier,360,367
2016,GERDEMANN Linus,Cult Energy Pro Cycling,Stölting Service Group,349,25
2016,MEZGEC Luka,Team Giant - Alpecin,Orica GreenEDGE,235,164
2016,SØRENSEN Chris Anker,Tinkoff - Saxo,Fortuneo - Vital Concept,216,121
2016,PLANCKAERT Baptiste,Roubaix Lille Métropole,Wallonie - Bruxelles,443,1017
2016,BETANCUR Carlos,AG2R La Mondiale,Movistar Team,177,69
2016,DEHAES Kenny,Lotto Soudal,Wanty - Groupe Gobert,102,490
2016,TEN DAM Laurens,Team LottoNL-Jumbo,Team Giant - Alpecin,65,88
2016,INTXAUSTI Beñat,Movistar Team,Team Sky,559,67
2016,THEUNS Edward,Topsport Vlaanderen - Baloise,Trek - Segafredo,958,433
2016,MEINTJES Louis,MTN - Qhubeka,Lampre - Merida,662,580
2016,MOHORIČ Matej,Team Cannondale - Garmin,Lampre - Merida,66,192
2016,PEDERSEN Mads,Cult Energy Pro Cycling,Stölting Service Group,120,155
2016,MOSCON Gianni,,Team Sky,87,459
2016,GATTO Oscar,Androni Giocattoli - Sidermec,Tinkoff,253,253
2016,GAUTIER Cyril,Team Europcar,AG2R La Mondiale,189,167
2016,BONIFAZIO Niccolò,Lampre - Merida,Trek - Segafredo,526,370
2016,KRAGH ANDERSEN Søren,Team Trefor - Blue Water,Team Giant - Alpecin,219,159
2016,PONZI Simone,Southeast,CCC Sprandi Polkowice,484,64
2016,HAAS Nathan,Team Cannondale - Garmin,Team Dimension Data,186,275
2016,ARASHIRO Yukiya,Team Europcar,Lampre - Merida,212,206
2016,RUBIANO Miguel Angel,Team Colombia,China Continental Team of Gansu Bank,202,45
2016,MØRKØV Michael,Tinkoff - Saxo,Team Katusha,105,131
2016,MIZBANI Ghader,Tabriz Petrochemical Team,Tabriz Shahrdari Team,78,170
